velocity,radius,weight,stiffness,displacement_x,displacement_y,sequence_id,step_in_sequence
75.3301,34.1660,10.0000,0.8078,-35.1486,60.6905,14,3
8.0747,30.9026,10.0000,0.9099,-0.2734,0.7544,14,4
34.1480,26.4609,10.0000,1.3963,3.5096,7.5380,14,5
124.0314,42.6550,10.0000,1.9605,-15.0866,77.2324,14,6
149.1915,32.5255,10.0000,1.6982,19.5097,129.5024,14,7
140.0688,40.2450,10.0000,1.0266,-99.5694,163.0537,14,8
31.0266,18.1400,10.0000,0.5816,-9.9375,13.1633,14,9
100.5177,48.4214,10.0000,1.5857,-15.5334,61.8709,14,10
120.0421,26.2165,10.0000,0.9665,68.6075,132.4319,15,1
110.1345,8.1796,10.0000,1.9376,-19.5462,59.5321,15,2
149.8994,42.6523,10.0000,0.8309,-125.1203,239.7919,15,3
21.1311,46.0714,10.0000,1.4532,-1.3021,2.7120,15,4
137.9313,28.1685,10.0000,1.9985,18.1487,93.4463,15,5
45.1435,10.2911,10.0000,1.8329,-3.1797,10.5856,15,6
31.0146,41.7097,10.0000,1.7073,1.2825,5.3587,15,7
141.0272,12.4251,10.0000,1.1838,65.8833,154.5125,15,8
5.6049,34.7151,10.0000,1.5207,-0.1956,0.2023,15,9
147.2498,30.7012,10.0000,1.5353,-82.2904,114.6469,15,10
21.2830,39.5644,10.0000,1.2475,0.2889,3.5507,16,1
85.6539,34.3521,10.0000,1.7250,-13.4754,40.4518,16,2
53.3111,23.3291,10.0000,1.2400,7.9880,21.4750,16,3
134.0211,15.3482,10.0000,1.4082,-56.1212,114.4958,16,4
96.2999,30.1991,10.0000,1.1736,40.8004,67.6327,16,5
57.5827,47.8310,10.0000,1.4532,-13.2061,18.6728,16,6
91.1046,16.0954,10.0000,0.5381,-74.3929,134.8222,16,7
88.7195,46.7867,10.0000,1.0862,-10.0230,71.7928,16,8
99.5047,18.6434,10.0000,1.2219,12.3540,80.0226,16,9
38.4223,38.5082,10.0000,0.8606,-11.0608,12.7695,16,10
63.2642,16.3456,10.0000,0.8705,18.2440,42.2191,17,1
26.5283,32.7734,10.0000,0.7908,-4.0446,7.7786,17,2
7.0617,23.7623,10.0000,0.9836,-0.0116,0.4327,17,3
69.8730,35.2028,10.0000,0.5740,38.4934,75.8059,17,4
15.7980,3.1865,10.0000,0.5737,-7.6783,4.0163,17,5
97.6123,5.6029,10.0000,1.3850,-21.9721,65.0192,17,6
52.1445,48.4775,10.0000,1.2266,14.0214,17.0702,17,7
0.1213,44.6217,10.0000,0.5641,0.0387,0.0745,17,8
76.0882,7.0080,10.0000,1.6862,22.1622,26.1128,17,9
92.8759,46.1054,10.0000,1.4082,-0.1256,61.2003,17,10
137.3603,26.7128,10.0000,0.5082,187.4358,320.2757,18,1
143.6076,34.2622,10.0000,0.5423,0.0182,380.2167,18,2
32.0491,29.7293,10.0000,0.9311,-6.9114,8.7435,18,3
84.1285,18.7503,10.0000,1.0570,45.8276,48.9169,18,4
40.2241,38.3891,10.0000,1.6870,3.5959,8.7897,18,5
122.6056,36.1188,10.0000,0.6880,23.7917,217.0534,18,6
107.6606,35.6602,10.0000,1.7044,-40.8059,54.4055,18,7
135.4510,7.0089,10.0000,0.5932,-130.5529,280.4004,18,8
72.8701,36.5903,10.0000,0.8045,-29.4053,59.0136,18,9
145.7744,12.6632,10.0000,1.2202,-45.5688,168.1561,18,10
118.8311,36.3490,10.0000,0.6201,132.7263,184.9710,19,1
39.7983,26.6801,10.0000,1.1688,-6.1058,12.1800,19,2
59.6759,26.7502,10.0000,0.9990,13.3047,33.0771,19,3
74.1685,40.5473,10.0000,1.2456,12.3148,42.3404,19,4
114.5766,4.6401,10.0000,1.8592,-121.1105,60.2064,19,5
114.9399,36.2151,10.0000,0.7983,12.4075,164.9178,19,6
4.1990,24.4962,10.0000,0.5876,0.0501,0.3324,19,7
102.4339,38.3717,10.0000,1.9035,15.0333,53.1657,19,8
129.2543,24.4979,10.0000,1.2823,-30.9494,126.4821,19,9
73.8257,15.1701,10.0000,1.1179,33.7588,35.0829,19,10
143.9239,27.3676,10.0000,1.4152,14.4833,145.5782,20,1
138.6871,4.1247,10.0000,1.5950,-158.6791,124.5866,20,2
50.0502,16.6808,10.0000,0.6546,7.6753,37.4692,20,3
10.1678,39.8832,10.0000,1.5371,-0.3464,0.6759,20,4
120.8265,23.5394,10.0000,0.8973,-32.8331,159.3646,20,5
56.1263,19.9689,10.0000,1.1307,15.0153,23.4751,20,6
10.0263,44.6464,10.0000,1.1312,0.1613,0.8924,20,7
11.0777,25.5608,10.0000,1.3808,0.6160,0.8067,20,8
144.8272,17.8789,10.0000,0.9689,74.9996,202.9894,20,9
45.1540,41.7352,10.0000,0.8504,15.0111,18.5594,20,10
98.3611,5.0151,10.0000,1.5808,15.0142,59.3766,21,1
33.5656,32.7988,10.0000,1.5513,1.9854,6.9363,21,2
34.4404,13.6885,10.0000,1.8414,2.0904,6.0370,21,3
134.6470,18.5612,10.0000,1.3885,-77.6990,105.1830,21,4
15.6379,37.0671,10.0000,0.5067,-2.4501,4.1344,21,5
28.4794,17.2169,10.0000,0.9992,4.9860,6.4460,21,6
139.0596,28.8117,10.0000,1.1032,-110.6470,136.0518,21,7
149.4576,1.9911,10.0000,1.1616,-288.3430,208.4968,21,8
113.9532,37.4453,10.0000,1.7022,19.3753,73.9471,21,9
89.5645,29.6634,10.0000,1.2624,-33.4050,53.9365,21,10
5.3568,1.4487,10.0000,1.1639,-0.0976,0.3998,22,1
56.0346,18.8105,10.0000,0.8079,23.0533,31.1694,22,2
140.4180,5.4925,10.0000,1.2484,62.9064,144.8694,22,3
43.2848,27.6293,10.0000,1.1319,2.9212,16.2597,22,4
70.4638,9.4057,10.0000,0.6909,49.5994,52.0516,22,5
96.9753,36.2445,10.0000,1.6417,20.2316,53.3674,22,6
13.1658,21.5560,10.0000,1.5532,-0.7529,0.7702,22,7
47.1685,29.3164,10.0000,0.9176,-1.6140,24.0705,22,8
37.0019,19.3071,10.0000,1.6472,-5.0224,6.7748,22,9
81.5074,6.7452,10.0000,1.4696,8.0071,44.3855,22,10
127.3694,17.3420,10.0000,1.0347,31.0350,153.6799,23,1
13.1251,40.9372,10.0000,1.0153,-0.1608,1.7154,23,2
102.4783,26.0155,10.0000,1.0329,-54.9578,85.5292,23,3
40.3570,12.2854,10.0000,1.6567,3.4364,9.2264,23,4
32.8593,43.7325,10.0000,1.9064,3.8160,4.3566,23,5
0.5408,4.0954,10.0000,0.8177,0.0926,0.1064,23,6
49.8598,31.6721,10.0000,1.9339,-5.0090,11.9693,23,7
121.3830,40.8935,10.0000,0.6982,-83.9925,193.5537,23,8
101.4401,42.1430,10.0000,0.5575,109.4396,148.6705,23,9
19.4656,26.8470,10.0000,1.8555,0.5319,2.0548,23,10
140.0990,29.9954,10.0000,1.1828,-28.5709,163.4562,24,1
96.0175,17.8721,10.0000,1.8185,-32.0536,39.3221,24,2
144.3171,28.5906,10.0000,0.6693,-72.9103,302.7217,24,3
89.1291,47.4284,10.0000,0.6552,38.1706,115.0890,24,4
138.4062,0.6328,10.0000,1.3590,-208.5866,141.3528,24,5
42.4332,13.7073,10.0000,1.2964,-8.4508,10.9579,24,6
78.9271,38.9137,10.0000,0.8095,-41.2822,64.7800,24,7
69.2176,31.1209,10.0000,1.9452,-12.5750,21.1641,24,8
113.8958,16.0981,10.0000,0.5599,13.6784,231.1291,24,9
82.8329,23.8890,10.0000,1.4992,-31.0152,33.7068,24,10
101.8103,8.7498,10.0000,1.6839,36.0814,49.9794,25,1
27.0925,48.7193,10.0000,1.6342,-1.7058,4.1466,25,2
65.6960,13.3883,10.0000,0.6199,-25.0487,64.9036,25,3
71.3819,7.2388,10.0000,1.4988,-16.7935,29.4357,25,4
48.0484,19.2519,10.0000,1.5175,-0.2779,15.1101,25,5
95.7901,43.4121,10.0000,1.0606,46.6239,72.8837,25,6
36.9963,18.9174,10.0000,1.0708,3.8045,12.0995,25,7
88.0712,23.4420,10.0000,1.9818,7.1071,38.4091,25,8
87.9285,46.2877,10.0000,1.6315,-25.1406,39.9637,25,9
22.3596,23.0459,10.0000,1.4819,2.1187,2.7109,25,10
113.6610,43.8273,10.0000,1.0671,-68.7372,99.7088,26,1
6.7577,5.5868,10.0000,0.8181,-0.2097,0.3479,26,2
141.0505,16.3471,10.0000,1.0900,87.4915,160.1401,26,3
55.2467,29.9261,10.0000,0.7587,-25.3493,31.0789,26,4
128.6316,25.6585,10.0000,1.6388,53.4737,85.7275,26,5
88.8112,3.2967,10.0000,1.5113,-72.1330,45.8981,26,6
81.4349,25.1719,10.0000,0.6485,33.4654,96.4232,26,7
71.6393,14.5008,10.0000,1.3844,18.1872,32.2916,26,8
123.3659,28.6949,10.0000,1.3275,-76.7488,85.0363,26,9
38.7823,26.2903,10.0000,1.7974,-5.7936,5.8938,26,10
111.4699,47.0009,10.0000,1.5021,2.4203,82.6935,27,1
108.4760,17.1522,10.0000,1.9393,5.6464,60.4995,27,2
0.8751,35.4509,10.0000,1.9365,0.0315,-0.0880,27,3
98.3417,41.6064,10.0000,1.1962,25.1447,76.9459,27,4
38.9770,27.1871,10.0000,0.8897,3.8000,16.6006,27,5
48.7934,9.8911,10.0000,1.7535,2.3687,13.2948,27,6
117.1302,41.9190,10.0000,0.9220,-63.6232,134.3853,27,7
82.8680,26.5001,10.0000,0.9249,-24.5321,70.0496,27,8
139.0253,9.5128,10.0000,0.7033,96.0546,257.6191,27,9
79.3068,33.5599,10.0000,0.9299,35.9495,57.2827,27,10
58.8341,27.4397,10.0000,1.9790,-10.3719,14.2479,28,1
52.1156,38.6045,10.0000,1.5430,-4.8889,16.9436,28,2
91.5461,32.8493,10.0000,1.7214,33.4658,35.4187,28,3
140.7301,41.7802,10.0000,1.4481,-38.4801,131.1086,28,4
131.7094,0.6320,10.0000,1.3166,-204.9548,109.9460,28,5
148.3427,48.9359,10.0000,0.9968,-42.6243,216.5881,28,6
78.2824,21.1355,10.0000,1.0014,37.2176,48.4484,28,7
26.2975,26.8822,10.0000,1.5501,2.5038,3.8053,28,8
95.6350,42.2929,10.0000,1.2274,-18.5146,72.1645,28,9
122.0065,6.5433,10.0000,1.8903,51.7505,59.3091,28,10
98.3217,49.9093,10.0000,1.8537,36.0891,37.7162,29,1
99.0925,19.8159,10.0000,1.7346,-31.2345,47.2276,29,2
120.1614,15.7208,10.0000,1.1169,-61.6708,113.6380,29,3
93.0638,5.0152,10.0000,1.5012,-20.5641,53.8746,29,4
28.2401,36.8490,10.0000,1.9782,-1.3757,3.8297,29,5
18.4854,31.9505,10.0000,1.2879,1.2414,2.3639,29,6
139.7925,39.8524,10.0000,1.9000,24.1345,100.0070,29,7
88.0867,18.0935,10.0000,1.1576,-40.0478,53.6481,29,8
2.8407,36.8320,10.0000,0.9360,0.0078,-0.0470,29,9
107.7801,45.9332,10.0000,1.5290,30.7971,69.5463,29,10
25.6780,11.3199,10.0000,1.5840,-1.6430,3.7998,30,1
57.5803,38.2340,10.0000,1.2672,6.8616,25.1512,30,2
34.9472,7.9409,10.0000,1.2581,6.6613,6.8977,30,3
42.4260,22.3921,10.0000,0.7453,-2.6319,23.8269,30,4
113.8791,12.0254,10.0000,0.8691,34.3749,145.1115,30,5
110.3815,20.6571,10.0000,1.5139,-5.4849,80.3285,30,6
22.0668,34.0958,10.0000,0.6973,0.8600,6.9572,30,7
23.2202,29.0931,10.0000,1.6469,1.3526,2.9879,30,8
27.6511,28.7497,10.0000,1.4522,0.7691,5.2629,30,9
75.1229,22.7206,10.0000,1.2977,-9.0523,42.4922,30,10
105.9069,36.2473,10.0000,1.8874,12.0457,58.3456,31,1
94.1020,26.7324,10.0000,1.4447,3.2739,61.1205,31,2
139.8703,9.8552,10.0000,1.1686,-106.4548,129.3493,31,3
30.7772,7.8294,10.0000,0.9604,-6.5385,7.3718,31,4
4.7534,4.2522,10.0000,1.4088,-0.1905,0.1947,31,5
23.4926,38.5123,10.0000,1.8107,-1.9018,2.2972,31,6
62.5149,7.6382,10.0000,1.7315,10.6391,19.8088,31,7
66.8179,29.3237,10.0000,0.9973,-5.3478,44.4638,31,8
4.0111,23.9047,10.0000,1.3189,-0.0905,0.0002,31,9
134.0972,16.6859,10.0000,1.9139,-20.6224,91.6102,31,10
4.7749,38.3053,10.0000,1.8092,-0.1509,0.3316,32,1
3.2475,48.1607,10.0000,0.7340,-0.1191,0.0503,32,2
114.4894,11.1378,10.0000,0.8903,-10.4189,146.8878,32,3
65.8701,6.3134,10.0000,1.1824,9.6698,35.3635,32,4
96.3509,3.4747,10.0000,1.0716,-61.3897,121.3135,32,5
65.1971,33.2264,10.0000,0.8089,-35.9971,38.3699,32,6
42.0439,29.2631,10.0000,0.5377,23.1558,23.4754,32,7
80.6432,17.9932,10.0000,1.7948,-8.8759,35.1799,32,8
140.2498,16.8612,10.0000,0.7622,52.9020,252.7951,32,9
142.6075,38.7104,10.0000,0.7216,198.2991,200.3348,32,10
41.5384,6.1326,10.0000,1.9403,5.0018,7.2798,33,1
136.5855,23.7650,10.0000,0.5882,83.6155,305.8661,33,2
123.9674,47.4100,10.0000,0.5487,-166.8652,225.0577,33,3
4.0875,47.7044,10.0000,0.6412,-0.1003,0.1466,33,4
85.0306,24.8458,10.0000,1.1923,-33.8119,50.2801,33,5
124.8365,33.0298,10.0000,1.4681,-61.8760,86.0995,33,6
89.7150,21.6366,10.0000,1.7056,-28.9736,37.1456,33,7
69.2850,29.4319,10.0000,1.8871,12.7132,21.9394,33,8
72.6701,41.6088,10.0000,0.6053,29.4281,82.1727,33,9
69.3533,20.7845,10.0000,0.8876,7.0336,53.6059,33,10
6.9257,32.4454,10.0000,1.4843,-0.1649,0.2152,34,1
120.0838,12.6394,10.0000,0.5731,105.0096,228.6436,34,2
86.0195,30.6372,10.0000,1.6682,-6.4066,43.9891,34,3
131.4277,8.2409,10.0000,1.0488,54.0707,155.4150,34,4
56.4614,1.5832,10.0000,0.8464,-27.1601,49.7737,34,5
53.9864,45.7607,10.0000,0.9167,18.9192,25.6936,34,6
5.4712,32.5703,10.0000,1.0157,-0.1561,0.1985,34,7
125.1165,21.0785,10.0000,0.8250,-52.0697,182.2228,34,8
119.2178,21.0161,10.0000,0.8599,-102.6978,129.3073,34,9
43.1396,35.8680,10.0000,1.5483,-1.6121,11.9708,34,10
14.5698,5.1598,10.0000,1.8290,0.4209,1.0411,35,1
111.8771,37.9603,10.0000,1.7043,-33.5217,65.1308,35,2
118.8872,33.5617,10.0000,1.2536,28.8175,108.9739,35,3
91.5138,10.7325,10.0000,0.8932,55.1804,75.7215,35,4
31.8823,29.9223,10.0000,0.7306,8.7184,10.8170,35,5
11.4357,34.2612,10.0000,0.6808,-0.6942,1.7146,35,6
9.5530,34.2170,10.0000,0.7172,0.7757,0.7451,35,7
149.4258,9.8613,10.0000,0.6063,244.3807,275.4280,35,8
68.5253,19.9788,10.0000,1.9928,2.1426,23.5276,35,9
138.9551,37.1881,10.0000,0.6315,14.0812,305.4050,35,10
123.5187,43.6275,10.0000,1.5609,67.4017,70.5789,36,1
121.9669,30.1141,10.0000,1.8893,20.2318,75.9300,36,2
49.3562,35.9000,10.0000,1.5825,-6.5356,13.6942,36,3
30.5389,40.1173,10.0000,1.2002,2.5957,7.4162,36,4
118.8235,45.0066,10.0000,1.6635,-42.9661,73.0743,36,5
83.5388,19.2327,10.0000,0.8845,53.8406,57.4896,36,6
48.4324,10.5282,10.0000,1.0223,-1.4177,22.8786,36,7
145.8366,24.6867,10.0000,1.1105,-69.1698,178.6709,36,8
74.1314,45.7264,10.0000,1.6477,8.6380,32.1305,36,9
74.4492,30.9734,10.0000,0.6683,53.7134,62.9354,36,10
104.2243,26.4981,10.0000,1.6344,-9.2810,65.7046,37,1
57.4959,42.4824,10.0000,1.2405,15.2713,21.9936,37,2
33.5193,19.3983,10.0000,1.5782,0.8228,7.0820,37,3
77.9875,15.2920,10.0000,1.1143,-7.4060,54.0487,37,4
21.8165,49.5807,10.0000,0.6612,1.7259,7.1591,37,5
41.0895,18.9705,10.0000,1.9837,-0.5743,8.3734,37,6
14.7568,11.1670,10.0000,1.2280,0.9631,1.4897,37,7
111.8894,47.6786,10.0000,1.7224,16.9091,70.5911,37,8
63.8571,19.5277,10.0000,0.6399,-42.9112,47.0586,37,9
131.5995,25.5981,10.0000,1.2624,88.8086,104.5519,37,10
47.5649,22.0390,10.0000,1.5440,10.0490,10.6431,38,1
92.5919,1.9517,10.0000,1.3617,-56.1804,88.8486,38,2
46.8580,18.8966,10.0000,1.1017,8.8039,17.9646,38,3
8.0736,46.1015,10.0000,1.6725,0.1881,0.3039,38,4
73.3714,6.7899,10.0000,1.5315,-21.1103,28.1833,38,5
19.8082,11.6435,10.0000,1.0801,0.5953,3.5583,38,6
25.5067,26.7988,10.0000,1.4318,1.4441,4.2540,38,7
29.9935,18.4489,10.0000,0.7429,-7.0294,9.9514,38,8
133.7658,10.9161,10.0000,1.2067,96.3144,112.6229,38,9
31.9857,34.3666,10.0000,1.6220,1.0849,6.3022,38,10
142.5333,29.2709,10.0000,0.6059,65.6031,328.7376,39,1
86.3242,33.0689,10.0000,1.3629,-37.1951,40.1664,39,2
87.6785,28.6882,10.0000,0.5316,-2.8446,144.4785,39,3
129.3281,11.9078,10.0000,1.1578,-88.5735,114.0902,39,4
1.9269,18.5071,10.0000,1.2490,-0.1301,-0.2193,39,5
104.9482,15.4055,10.0000,0.9471,-57.2130,101.4602,39,6
55.6746,43.1239,10.0000,1.3294,16.0021,17.0162,39,7
5.4494,35.0385,10.0000,1.8402,0.0624,0.0335,39,8
131.1428,41.0771,10.0000,0.5514,-7.8840,311.9130,39,9
17.1602,14.3599,10.0000,1.4046,-1.1629,1.7931,39,10
5.1669,20.4713,10.0000,1.8162,0.0616,0.0938,40,1
79.5078,27.3926,10.0000,1.7843,12.8728,33.0758,40,2
124.4871,36.3905,10.0000,1.8420,-34.4918,76.6245,40,3
66.4402,8.1014,10.0000,1.5775,15.3061,23.3371,40,4
27.9918,23.5304,10.0000,0.6347,-0.2395,12.2612,40,5
72.8857,37.5116,10.0000,1.0019,16.1348,50.6612,40,6
5.9642,48.4640,10.0000,1.3649,0.0378,0.3166,40,7
28.2906,28.9001,10.0000,0.7996,-6.6575,7.4606,40,8
94.9726,16.7550,10.0000,0.6696,-55.6921,122.6480,40,9
18.6473,4.4200,10.0000,0.7894,-5.0501,6.4033,40,10
65.8117,9.9221,10.0000,1.0952,10.0234,38.3678,41,1
41.2605,31.6614,10.0000,1.7982,3.9093,8.5862,41,2
43.5694,26.9884,10.0000,1.2760,5.6401,13.8447,41,3
